STATE,COUNTY,VARIABLE,POP
Ohio,Franklin,Middle Africa,2561
Ohio,Hocking,Middle Africa,0
Ohio,Knox,Middle Africa,0
Ohio,Licking,Middle Africa,18
Ohio,Logan,Middle Africa,0
Ohio,Madison,Middle Africa,0
Ohio,Marion,Middle Africa,28
Ohio,Morrow,Middle Africa,0
Ohio,Perry,Middle Africa,0
Ohio,Pickaway,Middle Africa,38
Ohio,Ross,Middle Africa,0
Ohio,Union,Middle Africa,0
Ohio,Delaware,Northern Africa,185
Ohio,Fairfield,Northern Africa,75
Ohio,Fayette,Northern Africa,0
Ohio,Franklin,Northern Africa,5283
Ohio,Hocking,Northern Africa,0
Ohio,Knox,Northern Africa,0
Ohio,Licking,Northern Africa,33
Ohio,Logan,Northern Africa,0
Ohio,Madison,Northern Africa,0
Ohio,Marion,Northern Africa,0
Ohio,Morrow,Northern Africa,15
Ohio,Perry,Northern Africa,0
Ohio,Pickaway,Northern Africa,0
Ohio,Ross,Northern Africa,0
Ohio,Union,Northern Africa,23
Ohio,Delaware,Southern Africa,17
Ohio,Fairfield,Southern Africa,0
Ohio,Fayette,Southern Africa,0
Ohio,Franklin,Southern Africa,693
Ohio,Hocking,Southern Africa,0
Ohio,Knox,Southern Africa,16
Ohio,Licking,Southern Africa,0
Ohio,Logan,Southern Africa,0
Ohio,Madison,Southern Africa,0
Ohio,Marion,Southern Africa,0
Ohio,Morrow,Southern Africa,0
Ohio,Perry,Southern Africa,0
Ohio,Pickaway,Southern Africa,0
Ohio,Ross,Southern Africa,0
Ohio,Union,Southern Africa,0
Ohio,Delaware,Western Africa,792
Ohio,Fairfield,Western Africa,376
Ohio,Fayette,Western Africa,0
Ohio,Franklin,Western Africa,17380
Ohio,Hocking,Western Africa,0
Ohio,Knox,Western Africa,0
Ohio,Licking,Western Africa,295
Ohio,Logan,Western Africa,20
Ohio,Madison,Western Africa,0
Ohio,Marion,Western Africa,20
Ohio,Morrow,Western Africa,0
Ohio,Perry,Western Africa,0
Ohio,Pickaway,Western Africa,2
Ohio,Ross,Western Africa,61
Ohio,Union,Western Africa,66
Ohio,Delaware,"Africa, other",2
Ohio,Fairfield,"Africa, other",46
Ohio,Fayette,"Africa, other",0
Ohio,Franklin,"Africa, other",2888
Ohio,Hocking,"Africa, other",0
Ohio,Knox,"Africa, other",0
Ohio,Licking,"Africa, other",21
Ohio,Logan,"Africa, other",0
Ohio,Madison,"Africa, other",0
Ohio,Marion,"Africa, other",8
Ohio,Morrow,"Africa, other",0
Ohio,Perry,"Africa, other",0
Ohio,Pickaway,"Africa, other",0
Ohio,Ross,"Africa, other",0
Ohio,Union,"Africa, other",0
Ohio,Delaware,Australia and New Zealand,66
Ohio,Fairfield,Australia and New Zealand,0
Ohio,Fayette,Australia and New Zealand,0
Ohio,Franklin,Australia and New Zealand,690
Ohio,Hocking,Australia and New Zealand,0
Ohio,Knox,Australia and New Zealand,9
Ohio,Licking,Australia and New Zealand,17
Ohio,Logan,Australia and New Zealand,16
Ohio,Madison,Australia and New Zealand,0
