STATE,COUNTY,VARIABLE,POP
Ohio,Knox,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,10
Ohio,Licking,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Logan,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Marion,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Union,Estimate!!Total:!!Europe:!!Northern Europe:!!Norway,0
Ohio,Delaware,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,68
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,23
Ohio,Fayette,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Franklin,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Hocking,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Knox,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,18
Ohio,Licking,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Logan,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Marion,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,0
Ohio,Union,Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden,32
Ohio,Delaware,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):,491
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):,91
